年季,Y_基準利率,X1,X2,X3,X4,X5,X6,X1_X4,X1_X2,X2_X4,X2_X3,X2_X5,X3_X4,X4_X6,X2_X6,X3_X5,X3_X6,X1_X3
2001Q3,2.75,-4.064,-0.3233333333333333,-0.5816666666666667,6.476666666666667,3.0705828845048284,-3.69,-26.321173333333334,1.3140266666666667,-2.094122222222222,0.1880722222222222,-0.9928217993232278,-3.767261111111111,-23.898899999999998,1.1930999999999998,-1.786055711153642,2.14635,2.3638933333333334
2001Q4,2.125,-0.302,-0.6033333333333334,-1.5876666666666668,5.6000000000000005,0.6290319069474342,-3.4,-1.6912,0.18220666666666668,-3.378666666666667,0.9578922222222224,-0.37951591719161865,-8.890933333333335,-19.040000000000003,2.0513333333333335,-0.9986929909302097,5.398066666666667,0.47947533333333336
2002Q1,2.125,1.823,0.46666666666666673,0.5096666666666667,4.03,-0.7878502782656597,1.9466666666666665,7.346690000000001,0.8507333333333335,1.880666666666667,0.2378444444444445,-0.36766346319064125,2.053956666666667,7.845066666666667,0.9084444444444445,-0.4015410251560646,0.9921511111111111,0.9291223333333334
2002Q2,1.875,6.751,0.6566666666666666,0.468,4.286666666666666,-0.1265944417030651,3.796666666666667,28.939286666666664,4.433156666666666,2.8149111111111105,0.30732,-0.08313035005167942,2.00616,16.275044444444443,2.4931444444444444,-0.05924619871703447,1.7768400000000002,3.1594680000000004
2002Q3,1.875,7.025,0.77,0.4933333333333334,2.9566666666666666,1.582225342299141,5.733333333333333,20.770583333333335,5.40925,2.2766333333333333,0.37986666666666674,1.2183135135703387,1.4586222222222223,16.951555555555554,4.414666666666667,0.7805645022009097,2.828444444444445,3.4656666666666673
2002Q4,1.625,6.22,0.75,-0.10266666666666664,2.5666666666666664,3.580409757886368,6.490000000000001,15.964666666666664,4.665,1.9249999999999998,-0.07699999999999999,2.6853073184147758,-0.26351111111111103,16.657666666666668,4.867500000000001,-0.36758873514300033,-0.6663066666666666,-0.6385866666666665
2003Q1,1.625,5.173,-0.5599999999999999,1.3486666666666667,2.89,5.1940405542381995,6.706666666666667,14.94997,-2.89688,-1.6183999999999998,-0.7552533333333332,-2.9086627103733913,3.8976466666666667,19.38226666666667,-3.755733333333333,7.005029360815919,9.045057777777778,6.976652666666666
2003Q2,1.375,-1.151,-0.49,-0.9710000000000002,2.393333333333333,5.41970843802256,1.2966666666666666,-2.7547266666666665,0.56399,-1.1727333333333332,0.4757900000000001,-2.6556571346310545,-2.323926666666667,3.103355555555555,-0.6353666666666666,-5.262536893319907,-1.2590633333333336,1.1176210000000002
2003Q3,1.375,5.405,-0.6366666666666667,0.0009999999999999883,3.6566666666666663,6.244367930995328,2.5766666666666667,19.76428333333333,-3.441183333333334,-2.3280777777777777,-0.0006366666666666593,-3.975580916067026,0.0036566666666666236,9.422011111111111,-1.640477777777778,0.0062443679309952555,0.0025766666666666364,0.005404999999999937
2003Q4,1.375,7.256,-0.5133333333333333,0.44866666666666666,5.32,7.846506309615268,5.8066666666666675,38.60192,-3.7247466666666664,-2.730933333333333,-0.23031555555555555,-4.027873238935838,2.386906666666667,30.891466666666673,-2.980755555555556,3.52046583091405,2.605257777777778,3.2555253333333334
2004Q1,1.375,6.931,0.16333333333333333,0.9156666666666667,6.216666666666666,10.759958946129881,8.563333333333333,43.08771666666666,1.1320633333333334,1.0153888888888887,0.1495588888888889,1.7574599612012138,5.692394444444444,53.23538888888888,1.3986777777777777,9.852535741672929,7.841158888888889,6.346485666666667
2004Q2,1.375,10.799,0.7333333333333334,0.4993333333333333,8.149999999999999,13.678939174381943,9.86,88.01184999999998,7.919266666666667,5.976666666666666,0.36617777777777777,10.031222061213425,4.069566666666666,80.35899999999998,7.230666666666667,6.83035029440805,4.923426666666666,5.392300666666666
2004Q3,1.375,7.053,1.1666666666666667,0.7816666666666668,7.456666666666667,15.249491746122764,11.973333333333334,52.59187,8.2285,8.699444444444445,0.9119444444444447,17.791073703809893,5.828627777777779,89.28115555555557,13.968888888888891,11.92001938155263,9.359155555555558,5.513095000000002
2004Q4,1.75,3.601,1.0066666666666666,-0.02433333333333327,6.806666666666666,15.492110234076218,5.793333333333333,24.510806666666664,3.6250066666666663,6.852044444444443,-0.02449555555555549,15.595390968970058,-0.16562888888888844,39.43328888888888,5.831955555555555,-0.3769746823625203,-0.14097111111111074,-0.0876243333333331
2005Q1,1.875,3.76,1.0066666666666666,1.2056666666666667,6.346666666666667,14.830343134878419,4.82,23.863466666666664,3.7850666666666664,6.388977777777777,1.2137044444444443,14.92921208911094,7.651964444444444,30.590933333333336,4.852133333333334,17.880450372951746,5.8113133333333336,4.533306666666666
2005Q2,1.875,4.821,0.69,0.4353333333333333,5.546666666666667,14.151895733207551,6.563333333333333,26.740479999999998,3.3264899999999997,3.8272,0.3003799999999999,9.76480805591321,2.414648888888889,36.40462222222222,4.528699999999999,6.16079194252302,2.8572377777777773,2.0987419999999997
2005Q3,2.125,5.067,0.6966666666666667,1.5633333333333332,6.463333333333334,13.453611672832396,5.406666666666667,32.74971,3.53001,4.502788888888889,1.089122222222222,9.372682798739902,10.104344444444445,34.9450888888889,3.7666444444444447,21.032479581861313,8.452422222222223,7.92141
2005Q4,2.25,7.632,0.5633333333333334,-0.6113333333333334,6.286666666666666,13.16553320032494,5.216666666666666,47.979839999999996,4.29936,3.541488888888889,-0.3443844444444445,7.416583702849716,-3.843248888888889,32.795444444444435,2.938722222222222,-8.048529296465315,-3.189122222222222,-4.6656960000000005
